UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00032582,2018-07-09,Feed Additives,Feed Materials,Spain (ES),RASFF,724
ICID00032583,2018-07-09,Pesticide Residues,Cereals & Bakery Products,India (IN),Local Authority,356
ICID00032589,2018-07-10,Poor or Insufficient Controls,Fish & Fish Products,United States (US),Border Inspection Posts (BIPs),840
ICID00032591,2018-07-10,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),RASFF,616
ICID00032594,2018-07-10,Poor or Insufficient Controls,Fish & Fish Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00032595,2018-07-10,Pathogenic Micro-Organisms,Nuts / Nut products / Seeds,Sudan (SD),RASFF,729
ICID00032596,2018-07-10,Mycotoxins,Nuts / Nut products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00032597,2018-07-10,Pathogenic Micro-Organisms,Fish & Fish Products,Ireland (IE),Local Authority,372
ICID00032598,2018-07-11,Allergens,Soups / Broths / Sauces & Condiments,Italy (IT),RASFF,380
ICID00032599,2018-07-11,Allergens,Prepared Dishes & Snacks,Syrian Arab Republic (SY),Industry,760
ICID00032600,2018-07-11,Allergens,Prepared Dishes & Snacks,Bangladesh (BD),Local Authority,50
ICID00032601,2018-07-11,Poor or Insufficient Controls,Fish & Fish Products,South Africa (ZA),Border Inspection Posts (BIPs),710
ICID00032604,2018-07-12,Chemical Contamination (other),Nuts / Nut products / Seeds,Poland (PL),Local Authority,616
ICID00032607,2018-07-12,Heavy Metals,Food Contact Materials,China (CN),RASFF,156
ICID00032619,2018-07-16,Clandestine Detection,Cereals & Bakery Products,Italy (IT),Police,380
ICID00032624,2018-07-17,Poor or Insufficient Controls,Bivalve Molluscs & Products Thereof,Mexico (MX),Border Inspection Posts (BIPs),484
ICID00032625,2018-07-17,Pathogenic Micro-Organisms,Fruits & Vegetables,Belgium (BE),RASFF,56
ICID00032626,2018-07-19,Pesticide Residues,Fruits & Vegetables,China (CN),Border Inspection Posts (BIPs),156
ICID00032629,2018-07-18,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Sweden (SE),EU Member States,752
ICID00032635,2018-07-20,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,Sri Lanka (LK),Local Authority,144
ICID00032638,2018-07-20,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),EU Member States,840
ICID00032641,2018-07-21,Clandestine Detection,Other Food Product / Mixed,Poland (PL),Home Office / Border Force,616
ICID00032642,2018-07-21,Clandestine Detection,Confectionery,Netherlands (NL),Home Office / Border Force,528
ICID00032643,2018-07-21,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00032645,2018-07-23,Clandestine Detection,Milk & Milk Products,Austria (AT),Border Inspection Posts (BIPs),40
ICID00032646,2018-07-23,Clandestine Detection,Other Food Product / Mixed,Italy (IT),Border Inspection Posts (BIPs),380
ICID00032649,2018-07-18,Pathogenic Micro-Organisms,Fruits & Vegetables,Spain (ES),EU Member States,724
ICID00032652,2018-07-23,Pathogenic Micro-Organisms,Feed Materials,Panama (PA),Border Inspection Posts (BIPs),591
ICID00032653,2018-07-23,Poor or Insufficient Controls,Nuts / Nut products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00032654,2018-07-23,Poor or Insufficient Controls,Fish & Fish Products,South Africa (ZA),Border Inspection Posts (BIPs),710
ICID00032657,2018-07-24,Poor or Insufficient Controls,Nuts / Nut products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00032662,2018-07-24,Food Additives & Flavourings,Confectionery,China (CN),FSA Northern Ireland (FSANI),156
ICID00032663,2018-07-24,Foreign Bodies,Milk & Milk Products,Finland (FI),European Commission (EC),246
ICID00032664,2018-07-24,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Netherlands (NL),European Commission (EC),528
ICID00032666,2018-07-24,Allergens,Confectionery,Germany (DE),RASFF,276
ICID00032667,2018-07-24,Foreign Bodies,Cereals & Bakery Products,Denmark (DK),RASFF,208
ICID00032668,2018-07-25,Mycotoxins,Nuts / Nut products / Seeds,United States (US),Border Inspection Posts (BIPs),840
ICID00032669,2018-07-25,Allergens,Non-Alcoholic Beverages,United States (US),RASFF,840
ICID00032670,2018-07-25,Foreign Bodies,Cereals & Bakery Products,France (FR),Local Authority,250
ICID00032671,2018-07-25,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Zimbabwe (ZW),RASFF,716
ICID00032672,2018-07-25,Allergens,Prepared Dishes & Snacks,Belgium (BE),Industry,56
ICID00032675,2018-07-25,Foreign Bodies,Cereals & Bakery Products,Sri Lanka (LK),RASFF,144
ICID00032682,2018-07-26,Pesticide Residues,Fruits & Vegetables,Uganda (UG),EU Member States,800
ICID00032684,2018-07-26,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00032685,2018-07-26,Mycotoxins,Nuts / Nut products / Seeds,Nicaragua (NI),RASFF,558
ICID00032686,2018-07-26,Poor or Insufficient Controls,Fish & Fish Products,Sri Lanka (LK),Port Health Authority (PHA),144
ICID00032687,2018-07-26,Clandestine Detection,Cereals & Bakery Products,Ukraine (UA),Border Inspection Posts (BIPs),804
ICID00032689,2018-07-26,Pesticide Residues,Herbs & Spices,China (CN),Local Authority,156
ICID00032691,2018-07-26,Clandestine Detection,Fruits & Vegetables,Netherlands (NL),Home Office / Border Force,528
ICID00032693,2018-07-26,Allergens,Prepared Dishes & Snacks,Thailand (TH),Industry,764
ICID00032694,2018-07-26,Chemical Contamination (other),Nuts / Nut products / Seeds,China (CN),Port Health Authority (PHA),156
ICID00032696,2018-07-26,Poor or Insufficient Controls,Confectionery,China (CN),RASFF,156
ICID00032700,2018-07-27,Foreign Bodies,Confectionery,France (FR),Industry,250
ICID00032704,2018-07-27,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Industry,840
ICID00032707,2018-07-27,Allergens,Cereals & Bakery Products,Spain (ES),Industry,724
ICID00032712,2018-07-27,Clandestine Detection,Fruits & Vegetables,Spain (ES),Police,724
ICID00032714,2018-07-30,Pesticide Residues,Fruits & Vegetables,Malaysia (MY),FSA England,458
ICID00032716,2018-07-30,Mycotoxins,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA),792
ICID00032717,2018-07-30,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
ICID00032718,2018-07-30,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
ICID00032719,2018-07-30,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
ICID00032723,2018-07-30,Mycotoxins,Nuts / Nut products / Seeds,China (CN),Port Health Authority (PHA),156
ICID00032725,2018-07-30,Allergens,Nuts / Nut products / Seeds,Ireland (IE),EU Member States,372
ICID00032732,2018-07-31,Pesticide Residues,Fruits & Vegetables,China (CN),Industry,156
ICID00032351,2018-06-01,Clandestine Detection,Cereals & Bakery Products,Germany (DE),EU Member States,276
ICID00032353,2018-06-01,Chemical Contamination (other),Fats & Oils,Netherlands (NL),Local Authority,528
ICID00032354,2018-06-01,Poor or Insufficient Controls,Crustaceans & Products Thereof,Sri Lanka (LK),Border Inspection Posts (BIPs),144
ICID00032355,2018-06-01,Pathogenic Micro-Organisms,Feed Materials,Sweden (SE),Food Standards Scotland (FSS),752
ICID00032357,2018-06-01,Foreign Bodies,Confectionery,Netherlands (NL),Industry,528
ICID00032359,2018-06-04,Poor or Insufficient Controls,Fish & Fish Products,Russian Federation (RU),Port Health Authority (PHA),643
ICID00032360,2018-06-04,Poor or Insufficient Controls,Fish & Fish Products,Russian Federation (RU),Port Health Authority (PHA),643
ICID00032361,2018-06-04,Poor or Insufficient Controls,Fish & Fish Products,Russian Federation (RU),Port Health Authority (PHA),643
ICID00032364,2018-06-04,Mycotoxins,Nuts / Nut products / Seeds,Gambia (GM),Port Health Authority (PHA),270
ICID00032367,2018-06-04,Allergens,Cereals & Bakery Products,India (IN),Industry,356
ICID00032368,2018-06-04,Mycotoxins,Nuts / Nut products / Seeds,Zambia (ZM),Border Inspection Posts (BIPs),894
ICID00032369,2018-06-05,Allergens,Other Food Product / Mixed,India (IN),Industry,356
ICID00032370,2018-06-05,Heavy Metals,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00032374,2018-06-05,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,Switzerland (CH),Local Authority,756
ICID00032375,2018-06-05,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF,56
ICID00032377,2018-06-05,Foreign Bodies,Cereals & Bakery Products,Italy (IT),Local Authority,380
ICID00032378,2018-06-05,Labelling Absent / Incomplete / Incorrect,Confectionery,Denmark (DK),Local Authority,208
ICID00032380,2018-06-05,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,France (FR),Local Authority,250
ICID00032381,2018-06-06,Poor or Insufficient Controls,Fish & Fish Products,Vietnam (VN),Port Health Authority (PHA),704
ICID00032384,2018-06-06,Food Additives & Flavourings,Confectionery,China (CN),Port Health Authority (PHA),156
ICID00032386,2018-06-07,Clandestine Detection,Milk & Milk Products,Romania (RO),Home Office / Border Force,642
ICID00032388,2018-06-07,Allergens,Confectionery,Ireland (IE),EU Member States,372
ICID00032390,2018-06-07,Mycotoxins,Nuts / Nut products / Seeds,Gambia (GM),Border Inspection Posts (BIPs),270
ICID00032392,2018-06-07,Mycotoxins,Nuts / Nut products / Seeds,Gambia (GM),Border Inspection Posts (BIPs),270
ICID00032393,2018-06-07,Pathogenic Micro-Organisms,Egg & Egg Products,Belgium (BE),RASFF,56
ICID00032396,2018-06-07,Non-Pathogenic Micro-Organisims,Herbs & Spices,Egypt (EG),European Commission,818
ICID00032397,2018-06-07,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),RASFF,724
ICID00032402,2018-06-08,Clandestine Detection,Milk & Milk Products,Belgium (BE),Home Office / Border Force,56
ICID00032403,2018-06-09,Clandestine Detection,Confectionery,Poland (PL),Home Office / Border Force,616
ICID00032406,2018-06-11,Pathogenic Micro-Organisms,Pet Food,Italy (IT),RASFF,380
ICID00032407,2018-06-11,Foreign Bodies,Fruits & Vegetables,Turkey (TR),Local Authority,792
ICID00032409,2018-06-11,Pathogenic Micro-Organisms,Milk & Milk Products,Italy (IT),RASFF,380
ICID00032410,2018-06-11,Mycotoxins,Nuts / Nut products / Seeds,United States (US),Port Health Authority (PHA),840
ICID00032411,2018-06-11,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00032412,2018-06-11,Clandestine Detection,Cereals & Bakery Products,Poland (PL),Home Office / Border Force,616
ICID00032415,2018-06-09,Pesticide Residues,Prepared Dishes & Snacks,Turkey (TR),Port Health Authority (PHA),792
ICID00032416,2018-06-12,Allergens,Herbs & Spices,India (IN),National Food Crime Unit (NFCU),356
ICID00032417,2018-06-12,Foreign Bodies,Cereals & Bakery Products,Saudi Arabia (SA),RASFF,682
ICID00032420,2018-06-12,Food Additives & Flavourings,Fats & Oils,Guinea-Bissau (GW),Port Health Authority (PHA),624
ICID00032425,2018-06-13,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,China (CN),Local Authority,156
ICID00032434,2018-06-14,Mycotoxins,Nuts / Nut products / Seeds,Austria (AT),EU Member States,40
ICID00032436,2018-06-14,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00032438,2018-06-14,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00032441,2018-06-15,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Local Authority,586
ICID00032442,2018-06-15,Composition,Dietetic Foods / Food Supplements / Fortified Foods,India (IN),RASFF,356
ICID00032443,2018-06-15,Pesticide Residues,Fruits & Vegetables,India (IN),Port Health Authority (PHA),356
ICID00032449,2018-06-18,Pathogenic Micro-Organisms,Cereals & Bakery Products,United States (US),INFOSAN,840
ICID00032450,2018-06-18,Allergens,Cereals & Bakery Products,Italy (IT),Industry,380
ICID00032453,2018-06-18,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),National Food Crime Unit (NFCU),840
ICID00032457,2018-06-19,Pesticide Residues,Fruits & Vegetables,Italy (IT),RASFF,380
ICID00032458,2018-06-19,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Administrative Assistance & Cooperation System (AAC),840
ICID00032459,2018-06-19,Poor or Insufficient Controls,Honey & Royal Jelly,China (CN),Port Health Authority (PHA),156
ICID00032468,2018-06-21,Poor or Insufficient Controls,Fish & Fish Products,China (CN),Border Inspection Posts (BIPs),156
ICID00032472,2018-06-21,Clandestine Detection,Confectionery,Germany (DE),Home Office / Border Force,276
ICID00032475,2018-06-22,Adulteration / Fraud,Meat & Meat Products (other than poultry),Spain (ES),Administrative Assistance & Cooperation System (AAC),724
ICID00032476,2018-06-21,Poor or Insufficient Controls,Fish & Fish Products,Chile (CL),Border Inspection Posts (BIPs),152
ICID00032479,2018-06-22,Clandestine Detection,Other Food Product / Mixed,Romania (RO),Home Office / Border Force,642
ICID00032483,2018-06-22,Chemical Contamination (other),Confectionery,Germany (DE),EU Member States,276
ICID00032487,2018-06-25,Pesticide Residues,Fruits & Vegetables,Uganda (UG),Administrative Assistance & Cooperation System (AAC),800
ICID00032488,2018-06-25,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Spain (ES),RASFF,724
ICID00032489,2018-06-25,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Germany (DE),Industry,276
ICID00032490,2018-06-25,Mycotoxins,Fruits & Vegetables,Indonesia (ID),RASFF,360
ICID00032491,2018-06-25,Mycotoxins,Fruits & Vegetables,India (IN),RASFF,356
ICID00032492,2018-06-25,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Netherlands (NL),RASFF,528
ICID00032493,2018-06-25,Adulteration / Fraud,Honey & Royal Jelly,New Zealand (NZ),Border Inspection Posts (BIPs),554
ICID00032495,2018-06-25,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00032499,2018-06-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF,616
ICID00032501,2018-06-26,Allergens,Prepared Dishes & Snacks,Italy (IT),RASFF,380
ICID00032503,2018-06-26,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Sweden (SE),RASFF,752
ICID00032506,2018-06-26,Composition,Cereals & Bakery Products,Argentina (AR),RASFF,32
ICID00032511,2018-06-27,Pathogenic Micro-Organisms,Crustaceans & Products Thereof,India (IN),Border Inspection Posts (BIPs),356
ICID00032512,2018-06-26,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Spain (ES),RASFF,724
ICID00032513,2018-06-26,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Netherlands (NL),Local Authority,528
ICID00032515,2018-06-26,Mycotoxins,Herbs & Spices,Sri Lanka (LK),Border Inspection Posts (BIPs),144
ICID00032516,2018-06-27,Composition,Confectionery,China (CN),Local Authority,156
ICID00032517,2018-06-26,Poor or Insufficient Controls,Fish & Fish Products,Mexico (MX),Border Inspection Posts (BIPs),484
ICID00032521,2018-06-28,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),New Zealand (NZ),FSA England,554
ICID00032522,2018-06-28,Pathogenic Micro-Organisms,Herbs & Spices,Lao People's Democratic Republic (LA),Border Inspection Posts (BIPs),418
ICID00032524,2018-06-28,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00032525,2018-06-28,Pathogenic Micro-Organisms,Poultry Meat & Polutry Meat Products,France (FR),RASFF,250
ICID00032526,2018-06-28,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs),214
ICID00032527,2018-06-29,Composition,Cereals & Bakery Products,United States (US),RASFF,840
ICID00032531,2018-06-29,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Poland (PL),RASFF,616
ICID00032534,2018-06-29,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF,616
ICID00032535,2018-06-30,Packaging Defective / Incorrect,Non-Alcoholic Beverages,France (FR),RASFF,250
ICID00032544,2018-06-28,Packaging Defective / Incorrect,Confectionery,Australia (AU),Local Authority,36
ICID00032129,2018-05-01,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Chile (CL),Border Inspection Posts (BIPs),152
ICID00032132,2018-05-01,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),Industry,250
ICID00032137,2018-05-01,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,Ghana (GH),Local Authority,288
ICID00032140,2018-05-02,Pesticide Residues,Fruits & Vegetables,Somalia (SO),Port Health Authority (PHA),706
ICID00032141,2018-05-01,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00032143,2018-05-02,Foreign Bodies,Milk & Milk Products,Ireland (IE),EU Member States,372
ICID00032145,2018-05-02,Clandestine Detection,Soups / Broths / Sauces & Condiments,Poland (PL),Home Office / Border Force,616
ICID00032149,2018-05-02,Feed Additives,Feed Materials,Gambia (GM),Border Inspection Posts (BIPs),270
ICID00032150,2018-05-02,Chemical Contamination (other),Nuts / Nut products / Seeds,United States (US),Border Inspection Posts (BIPs),840
ICID00032151,2018-05-02,Mycotoxins,Feed Materials,Gambia (GM),Border Inspection Posts (BIPs),270
ICID00032154,2018-05-03,Food Additives & Flavourings,Cereals & Bakery Products,Trinidad & Tobago (TT),Border Inspection Posts (BIPs),780
