UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00031679,2018-02-23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Vietnam (VN),EU Member States,704
ICID00031681,2018-02-23,Mycotoxins,Nuts / Nut Products / Seeds,Sudan (SD),Border Inspection Posts (BIPs),729
ICID00031685,2018-02-23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),RASFF,724
ICID00031688,2018-02-23,Allergens,Confectionery,Germany (DE),EU Member States,276
ICID00031689,2018-02-23,Clandestine Detection,Confectionery,Switzerland (CH),Home Office / Border Force,756
ICID00031691,2018-02-24,Chemical Contamination (other),Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs),214
ICID00031692,2018-02-26,Allergens,Confectionery,Greece (GR),EU Member States,300
ICID00031698,2018-02-26,Labelling Absent / Incomplete / Incorrect,Cephalopods & Products Thereof,Greece (GR),Industry,300
ICID00031701,2018-02-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00031702,2018-02-27,Mycotoxins,Nuts / Nut Products / Seeds,China (CN),Border Inspection Posts (BIPs),156
ICID00031703,2018-02-27,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Chile (CL),Border Inspection Posts (BIPs),152
ICID00031705,2018-02-27,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00031707,2018-02-27,Chemical Contamination (other),Dietetic Foods / Food Supplements / Fortified Foods,Ireland (IE),Administrative Assistance and Cooperation System (AAC),372
ICID00031708,2018-02-27,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031710,2018-02-27,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),General Public,616
ICID00031713,2018-02-28,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,Netherlands (NL),RASFF,528
ICID00031716,2018-02-28,Food Additives & Flavourings,Confectionary,China (CN),Local Authority,156
ICID00031717,2018-02-28,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
