x,y,value
Wine Bars,Falafel,0.10377208950737
Beer Bar,Thai,0.103127472920469
Thai,Beer Bar,0.103127472920469
Gelato,Pizza,0.102832591376831
Pizza,Gelato,0.102832591376831
Cafes,Patisserie/Cake Shop,0.10246984813492
Patisserie/Cake Shop,Cafes,0.10246984813492
Patisserie/Cake Shop,Thai,0.101972306143236
Thai,Patisserie/Cake Shop,0.101972306143236
Fast Food,Salad,0.101013452427564
Salad,Fast Food,0.101013452427564
Desserts,Shaved Ice,0.100646537995426
Shaved Ice,Desserts,0.100646537995426
Hot Pot,Shaved Ice,0.100591560503446
Shaved Ice,Hot Pot,0.100591560503446
Patisserie/Cake Shop,Spanish,0.0987243046667635
Spanish,Patisserie/Cake Shop,0.0987243046667635
Ethnic Food,Gelato,0.0978980692294426
Gelato,Ethnic Food,0.0978980692294426
Cafes,Pubs,0.0969501524974928
Pubs,Cafes,0.0969501524974928
Cuban,Specialty Food,0.0959064295425471
Specialty Food,Cuban,0.0959064295425471
Shaved Ice,Spanish,0.0949779806438096
Spanish,Shaved Ice,0.0949779806438096
Arabian,Fast Food,0.0933148735515702
Fast Food,Arabian,0.0933148735515702
Desserts,Pizza,0.0932458691553339
Pizza,Desserts,0.0932458691553339
Shaved Ice,Sushi Bars,0.0928499339045681
Sushi Bars,Shaved Ice,0.0928499339045681
Mediterranean,Pizza,0.0924569511292394
Pizza,Mediterranean,0.0924569511292394
Cuban,Food Delivery Services,0.091174493749715
Food Delivery Services,Cuban,0.091174493749715
Gelato,Patisserie/Cake Shop,0.0906890876669263
Patisserie/Cake Shop,Gelato,0.0906890876669263
Caribbean,Fast Food,0.0904846373159105
Fast Food,Caribbean,0.0904846373159105
Caribbean,Wine Bars,0.0896034207807351
Wine Bars,Caribbean,0.0896034207807351
